,sku,Tên,Trạng thái,Nhãn hàng,Loại,Nhóm,Đặc điểm nổi bật,Giá gốc,Giá hiện tại,Giảm giá,Thời gian kết thúc giảm giá,Khuyến mãi,Link đặt hàng,Ảnh,Màu,Thông tin hàng hóa,Thiết kế và Trọng lượng,Thông số cơ bản,Màn hình,Giao tiếp và kết nối,Phụ kiện trong hộp
0,00905453,Màn hình Viewsonic VA2215-H/21.5 inch/FHD (1920x1080)/VA 100Hz,Mua ngay,Viewsonic,Màn hình,Màn hình văn phòng,"['21.5 inch ', 'FHD 1920x1080 ', 'Tấm nền VA ']",2490000,1690000,32,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/man-hinh-vewsonic-va2215-h-21-5-inch?sku=00905453,/,,"{'Model': 'VA2215-H 100hz', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 36}","{'Trọng lượng sản phẩm có chân đế': [{'displayValue': '5 kg', 'value': 5}], 'Kiểu chân đế': 'Vuông'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['1ms'], 'Điện áp': '220 - 240 V'}","{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '21.5 inch', 'value': 21.5}, 'Công nghệ màn hình': 'Anti-Glare LED-Backlit Display', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '3000:1', 'Tấm nền': 'VA', 'Tần số quét': {'displayValue': '100 ', 'value': 100}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: VGA', 'Đầu vào: HDMI', 'Đầu ra: Jack 3.5 mm']}",{'Phụ kiện trong hộp': ['Dây nguồn']}
1,00906492,Màn hình Gaming Xiaomi G27i EU(ELA5375EU)/27 inch/FullHD (1920x1080)/FastIPS 165Hz,Mua ngay,Xiaomi,Màn hình,Màn hình Gaming,"['27 inch ', 'Tần số quét 165Hz ', 'Tấm nền IPS ']",3990000,3090000,23,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/man-hinh-gaming-xiaomi-g27i-eu-ela5375eu-27-inch?sku=00906492,https://cdn2.fptshop.com.vn/unsafe/2024_2_19_638439406181582599_man-hinh-gaming-xiaomi-g27i-eu-ela5375eu-27-inch-3.jpg,Đen,"{'Model': 'G27i', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '612.3 x 170 x 451.7 mm', 'Kích thước không chân đế': '612.3 x 37.3 x 361.6 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '3.6 kg', 'value': 3.6}], 'Kiểu chân đế': 'Vuông'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['1ms'], 'Đầu ra âm thanh': '1 x 3.5mm Audio-out (Headphone)'}","{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '27 inch', 'value': 27}, 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': {'displayValue': '165 ', 'value': 165}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: HDMI', 'Đầu vào: DisplayPort']}","{'Phụ kiện trong hộp': ['Dây nguồn', 'Dây HDMI']}"
2,00907761,Màn hình Cong MSI Pro MP272C/27 inch FHD (1920x1080)/VA 75Hz,Mua ngay,MSI,Màn hình,Màn hình văn phòng,"['27 inch ', 'FHD 1920x1080 ', 'Tấm nền VA ']",3000000,2490000,17,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/man-hinh-cong-msi-pro-mp272c-27-inch?sku=00907761,https://cdn2.fptshop.com.vn/unsafe/2024_4_26_638497524136255848_man-hinh-cong-msi-pro-mp272C-27-inch-2.jpg,Đen,"{'Model': 'MP272C', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 24, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '610.5 x 250 x 462.5 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '5 kg', 'value': 5}], 'Kiểu chân đế': 'Chân tròn'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['1ms'], 'Điện áp': '220 - 240 V'}","{'Loại màn hình': 'Màn hình cong', 'Kích thước màn hình': {'displayValue': '27 inch', 'value': 27}, 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1300:1', 'Tấm nền': 'VA', 'Tần số quét': {'displayValue': '75 ', 'value': 75}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: HDMI', 'Đầu vào: VGA/D-sub']}","{'Phụ kiện trong hộp': ['Dây nguồn', 'Dây HDMI']}"
3,00907086,Màn hình Gaming Acer VG240Y E/23.8inch/FullHD (1920x1080)/IPS 100Hz,Mua ngay,Acer,Màn hình,Màn hình Gaming,"['Tần số quét 100Hz ', 'Tấm nền IPS ', '24 inch ']",3190000,2290000,28,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/acer-gaming-vg240y-e-23-8-inch-fullhd-1920x1080-ips-100hz?sku=00907086,https://cdn2.fptshop.com.vn/unsafe/2024_5_21_638518964146185631_nitro-vg240y-e.jpg,Đen,"{'Model': 'VG240Y E', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '540 x 414 x 240 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '5 kg', 'value': 5}], 'Kiểu chân đế': 'Vuông'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['1ms'], 'Điện áp': '220 - 240 V'}","{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '24 inch', 'value': 24}, 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': {'displayValue': '100 ', 'value': 100}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: HDMI', 'Đầu vào: DisplayPort']}","{'Phụ kiện trong hộp': ['Dây nguồn', 'Dây HDMI']}"
4,00908831,Màn hình Gaming Asus VY249HF-R/23.8 inch FullHD (1920x1080)/IPS 100hz,Mua ngay,Asus,Màn hình,Màn hình Gaming,"['24 inch ', 'Tần số quét 100Hz ', 'Tấm nền IPS ']",3000000,2290000,24,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/asus-vy249hf-r-gaming-24-inch-fhd-ips-100hz,https://cdn2.fptshop.com.vn/unsafe/00908831_asus_vy249hf_r_68e27750b6.png,Đen,"{'Model': 'VY249HF-R', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '541 x 398 x 185 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '4 kg', 'value': 4}], 'Kiểu chân đế': 'Chân chữ V'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['1ms'], 'Điện áp': '220 - 240 V'}","{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '23.8 inch', 'value': 23.8}, 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': {'displayValue': '100 ', 'value': 100}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}",{'Cổng giao tiếp': ['Đầu vào: HDMI']},{'Phụ kiện trong hộp': ['Dây nguồn']}
5,00908531,Màn hình Gaming Samsung Odyssey G5 LS27CG552EEXXV/27 inch QHD (2560x1440)/VA 165Hz,Mua ngay,Samsung,Màn hình,Màn hình Gaming,"['Tần số quét 165Hz ', 'Tấm nền VA ', '27 inch ']",7789000,5290000,32,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/samsung-odyssey-g5-ls27cg552eexxv?sku=00908531,https://cdn2.fptshop.com.vn/unsafe/samsung_odyssey_g5_g55c_ls27cg552eexxv_5d0a72f4b6.png,Đen,"{'Model': 'LS27CG552', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 24, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '616.6 x 477.4 x 272.6 mm', 'Kích thước không chân đế': '614.6 x 382.8 x 120.0 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '4.1 kg', 'value': 4.1}], 'Kiểu chân đế': 'Chân chữ V'}","{'Thời gian phản hồi': ['1ms'], 'Điện áp': '220 - 240 V'}","{'Loại màn hình': 'Màn hình cong', 'Kích thước màn hình': {'displayValue': '27 inch', 'value': 27}, 'Công nghệ màn hình': 'VA', 'Độ phân giải': ['2560 x 1440 Pixels'], 'Chuẩn màn hình': 'QHD', 'Độ sáng': '300 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'VA', 'Tần số quét': {'displayValue': '165 ', 'value': 165}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: HDMI', 'Đầu vào: DisplayPort']}",{'Phụ kiện trong hộp': ['Dây nguồn']}
6,00910095,Màn hình MSI Pro MP275Q/27 inch 2K(2560x1440)/IPS 100hz,Mua ngay,MSI,Màn hình,Màn hình văn phòng,"['27 inch ', '2K 2560x1440 ', 'Tấm nền IPS ']",4190000,3990000,5,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/msi-pro-mp275q-27-inch-2k?sku=00910095,https://cdn2.fptshop.com.vn/unsafe/msi_pro_mp275q_27_inch_2k_1_1acec30944.jpg,Đen,"{'Model': 'MP275Q', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 24, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '614.0 x 456.7 x 207.2 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '4.1 kg', 'value': 4.1}], 'Kiểu chân đế': 'Vuông'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['1ms'], 'Điện áp': '220 - 240 V'}","{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '27 inch', 'value': 27}, 'Công nghệ màn hình': 'IPS', 'Độ phân giải': ['2560 x 1440 Pixels'], 'Chuẩn màn hình': 'WQHD', 'Độ sáng': '300 nits', 'Độ tương phản': '1300:1', 'Tấm nền': 'IPS', 'Tần số quét': {'displayValue': '100 ', 'value': 100}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: HDMI', 'Đầu vào: DisplayPort']}","{'Phụ kiện trong hộp': ['Dây nguồn', 'Dây HDMI']}"
7,00908814,Màn hình MSI Pro MP225/21.5 inch FullHD (1920x1080)/IPS 100Hz,Mua ngay,MSI,Màn hình,Màn hình văn phòng,"['21.5 inch ', 'FHD 1920x1080 ', 'Tấm nền IPS ']",2150000,1790000,17,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/msi-pro-mp225-21-5-inch-fullhd-1920x1080-ips-100hz?sku=00908814,https://cdn2.fptshop.com.vn/unsafe/2024_6_20_638545038235858795_msi-pro-mp-225.jpg,Đen,"{'Model': 'MP225', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 24, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '539.9 x 411.4 x 170 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '3 kg', 'value': 3}], 'Kiểu chân đế': 'Vuông'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['1ms'], 'Điện áp': '220 - 240 V'}","{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '21.5 inch', 'value': 21.5}, 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': {'displayValue': '100 ', 'value': 100}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: HDMI', 'Đầu vào: VGA/D-sub']}",{'Phụ kiện trong hộp': ['Dây nguồn']}
8,00906493,Màn hình Xiaomi A27i EU(ELA5345EU)/27 inch/FullHD (1920x1080)/IPS 100Hz,Mua ngay,Xiaomi,Màn hình,Màn hình văn phòng,"['27 inch ', 'FHD 1920x1080 ', 'Tấm nền IPS ']",3000000,2290000,24,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/man-hinh-xiaomi-a27i-ela5345eu-27-inch?sku=00906493,https://cdn2.fptshop.com.vn/unsafe/2024_2_19_638439385659072368_man-hinh-xiaomi-a27i-ela5345eu-27-inch-1.jpg,Đen,"{'Model': 'A27i', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 36, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '612.3 x 170 x 451.7 mm', 'Kích thước không chân đế': '612.3 x 37.3 x 361.6 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '3.6 kg', 'value': 3.6}], 'Kiểu chân đế': 'Vuông'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['6ms']}","{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '27 inch', 'value': 27}, 'Công nghệ màn hình': 'IPS LCD', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': {'displayValue': '100 ', 'value': 100}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: HDMI', 'Đầu vào: DisplayPort']}","{'Phụ kiện trong hộp': ['Cáp HDMI', 'Dây nguồn']}"
9,00910845,Màn hình MSI MP251 E2/24.5 inch FullHD (1920x1080)/IPS 120Hz,Mua ngay,MSI,Màn hình,Màn hình văn phòng,"['24.5 inch ', 'FHD 1920x1080 ', 'Tần số quét 120 Hz ']",2590000,2390000,8,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/msi-mp251-e2-24-5-inch-fullhd?sku=00910845,https://cdn2.fptshop.com.vn/unsafe/msi_pro_mp251_e2_070911019c.png,Đen,"{'Model': 'MP251 E2', 'Xuất xứ': ['Trung Quốc'], 'Thời gian bảo hành (tháng)': 24, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '557.5 x 207.2 x 422.1 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '4 kg', 'value': 4}], 'Kiểu chân đế': 'Vuông'}","{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)'], 'Thời gian phản hồi': ['1ms'], 'Điện áp': '220 - 240 V', 'Đầu ra âm thanh': 'Tai nghe, Loa PC (Internal Speaker)'}","{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '24.5 inch', 'value': 24.5}, 'Công nghệ màn hình': 'IPS', 'Độ phân giải': ['1920 x 1080 Pixels'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '300 nits', 'Độ tương phản': '1500:1', 'Tấm nền': 'IPS', 'Tần số quét': {'displayValue': '120 ', 'value': 120}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}","{'Cổng giao tiếp': ['Đầu vào: HDMI', 'Đầu vào: DisplayPort']}","{'Phụ kiện trong hộp': ['Dây nguồn', 'Dây HDMI']}"
10,00904699,Màn hình Samsung LS24C330GAEXXV/24 inch/FHD(1920x1080)/IPS 100Hz,Mua ngay,Samsung,Màn hình,Màn hình văn phòng,"['24 inch ', 'FHD 1920x1080 ', 'Tấm nền IPS ']",3000000,2390000,20,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Nhập mã FPTLAP giảm 5% tối đa 200.000đ', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/man-hinh/man-hinh-samsung-ls24c330gaexxv-24-inch?sku=00904699,/,Đen,"{'Model': 'Samsung LS24C330GAEXXV', 'Xuất xứ': ['Việt Nam'], 'Thời gian bảo hành (tháng)': 24, 'Màu sắc': ['Đen']}","{'Kích thước có chân đế': '539.5 x 422.4 x 253.5 mm', 'Trọng lượng sản phẩm có chân đế': [{'displayValue': '2.9 kg', 'value': 2.9}]}",{'Góc nhìn': ['178°(Dọc) / 178°(Ngang)']},"{'Loại màn hình': 'Màn hình phẳng', 'Kích thước màn hình': {'displayValue': '24 inch', 'value': 24}, 'Độ phân giải': ['FHD (1920 x 1080)'], 'Chuẩn màn hình': 'FHD', 'Độ sáng': '250 nits', 'Độ tương phản': '1000:1', 'Tấm nền': 'IPS', 'Tần số quét': {'displayValue': '100 Hz', 'value': 100}, 'Tỷ lệ màn hình': '16:09', 'Màu màn hình': '16.7 Triệu'}",,"{'Phụ kiện trong hộp': ['Cáp', 'Cáp HDMI']}"
