,sku,Tên,Trạng thái,Nhãn hàng,Loại,Nhóm,Đặc điểm nổi bật,Giá gốc,Giá hiện tại,Giảm giá,Thời gian kết thúc giảm giá,Khuyến mãi,Link đặt hàng,Ảnh,Màu,Thông tin hàng hóa,Thiết kế và Trọng lượng,Thông số cơ bản,Tính năng và tiện ích,Phụ kiện trong hộp
0,00905549,Máy lạnh Casper Inverter 1 HP (9000 BTU) TC-09IS35,Mua ngay,Casper,Máy lạnh,Máy lạnh 1 chiều,"['Dưới 15m² ', 'Làm lạnh Turbo ', 'Cảm biến nhiệt i-Feel']",7490000,5490000,27,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-lanh-dieu-hoa/casper-tc-09is35?sku=00905549,/,Trắng,"{'Model': 'TC-09IS35', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Toàn thiết bị 3 năm', 'Máy nén cục nóng 12 năm', 'Remote 1 năm']}","{'Chất liệu': ['Vỏ cục lạnh Nhựa', 'Vỏ cục nóng Nhôm', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Đồng mạ vàng'], 'Kích thước - Khối lượng dàn lạnh': 'Dài 70.8 cm - Cao 28.2 cm - Dày 19.3 cm - Nặng 7 kg', 'Kích thước - Khối lượng dàn nóng': 'Dài 70.3 cm - Cao 45.5 cm - Dày 23.3 cm - Nặng 16 kg', 'Kích thước ống đồng': '6.35 mm/9.52 mm', 'Chiều cao lắp đặt tối đa giữa cục nóng-lạnh': '10m', 'Chiều dài lắp đặt ống đồng': 'Tối đa 5m', 'Kiểu dáng thiết kế': 'Máy lạnh treo tường'}","{'Loại hàng': ['Máy lạnh Inverter 1 chiều'], 'Diện tích sử dụng': 'Dưới 15 m2', 'Độ ồn trung bình': 'Dàn nóng: 51/50/49 DB', 'Loại Gas': ['R32'], 'Nhãn năng lượng': '5 (Hiệu suất năng lượng CSPF 4.45)', 'Lọc bụi, kháng khuẩn, khử mùi': ['Lọc bụi thường'], 'Chế độ gió': 'Điều khiển lên xuống tự động, trái phải tùy chỉnh tay', 'Công nghệ làm lạnh': ['Turbo'], 'Công nghệ tiết kiệm điện': ['Công nghệ I-saving', 'Inverter'], 'Công suất làm lạnh': '1 HP - 9.000 BTU', 'Công suất tiêu thụ điện trung bình': ['0.98 kW/h'], 'Điện áp': '220 V / 50 Hz', 'Cường độ dòng điện': ['4.5A'], 'Cường độ dòng điện tối đa': '8A', 'Lượng gas nạp': '400g'}","{'Tiện ích': ['Tự chẩn đoán lỗi', 'Tự khởi động lại khi có điện', 'Khả năng hút ẩm', 'Chế độ ngủ đêm', 'Làm lạnh nhanh Turbo', 'Tự động cảm biến nhiệt độ phòng', 'Tự động làm sạch dàn I-Clean', 'Easy care - giảm thời gian lắp đặt']}","{'Phụ kiện trong hộp': ['2 pin AA', 'giá đỡ remote', 'Remote', 'Sách HDSD']}"
1,00905551,Máy lạnh Casper Inverter 1.5 HP (12000 BTU) GC-12IS35,Mua ngay,Casper,Máy lạnh,Máy lạnh 1 chiều,"['15 - 20m² ', 'Làm lạnh Turbo ', 'Cảm biến nhiệt i-Feel']",8990000,6890000,23,2024-10-24T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-lanh-dieu-hoa/casper-gc-12is35?sku=00905551,https://cdn2.fptshop.com.vn/unsafe/2023_11_30_638369522458678564_casper-gc-5.jpg,Trắng,"{'Model': 'GC-12IS35', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Toàn thiết bị 3 năm', 'Máy nén cục nóng 12 năm', 'Remote 1 năm']}","{'Chất liệu': ['Vỏ cục lạnh Nhựa', 'Vỏ cục nóng Nhôm', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Đồng mạ vàng'], 'Kích thước - Khối lượng dàn lạnh': 'Dài 76.3 cm - Cao 29.1 cm - Dày 20.2 cm - Nặng 10 kg', 'Kích thước - Khối lượng dàn nóng': 'Dài 70.3 cm - Cao 45.5 cm - Dày 20.3 cm - Nặng 20 kg', 'Kích thước ống đồng': '6.35 mm/9.52 mm', 'Chiều cao lắp đặt tối đa giữa cục nóng-lạnh': '10m', 'Chiều dài lắp đặt ống đồng': 'Tối đa 5m', 'Kiểu dáng thiết kế': 'Máy lạnh treo tường'}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Loại hàng': ['Máy lạnh Inverter 1 chiều'], 'Diện tích sử dụng': 'Dưới 20 m2', 'Độ ồn trung bình': 'Dàn nóng: 51/50/49 DB', 'Loại Gas': ['R32'], 'Nhãn năng lượng': '5 (Hiệu suất năng lượng CSPF 4.82)', 'Lọc bụi, kháng khuẩn, khử mùi': ['Lọc bụi thường'], 'Chế độ gió': 'Điều khiển lên xuống tự động, trái phải tùy chỉnh tay', 'Công nghệ làm lạnh': ['Turbo'], 'Công nghệ tiết kiệm điện': ['Công nghệ I-saving', 'Inverter'], 'Công suất làm lạnh': '1.5 HP - 12.000 BTU', 'Công suất tiêu thụ điện trung bình': ['1.25 kW/h']}","{'Tiện ích': ['Làm lạnh nhanh Turbo', 'Tự động cảm biến nhiệt độ phòng', 'Tự động làm sạch dàn I-Clean', 'Easy care - giảm thời gian lắp đặt']}","{'Phụ kiện trong hộp': ['2 pin AA', 'giá đỡ remote', 'Remote', 'Sách HDSD']}"
2,00905550,Máy lạnh Casper Inverter 1 HP (9300 BTU) GC-09IS35,Mua ngay,Casper,Máy lạnh,Máy lạnh 1 chiều,"['Dưới 15m² ', 'Làm lạnh Turbo ', 'Cảm biến nhiệt i-Feel']",7990000,5990000,25,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-lanh-dieu-hoa/casper-gc-09is35?sku=00905550,/,Trắng,"{'Model': 'GC-09IS35', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Toàn thiết bị 3 năm', 'Máy nén cục nóng 12 năm', 'Remote 1 năm']}","{'Chất liệu': ['Vỏ cục lạnh Nhựa', 'Vỏ cục nóng Nhôm', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Đồng mạ vàng'], 'Kích thước - Khối lượng dàn lạnh': 'Dài 76.3 cm - Cao 29.1 cm - Dày 20.2 cm - Nặng 10 kg', 'Kích thước - Khối lượng dàn nóng': 'Dài 70.3 cm - Cao 45.5 cm - Dày 23.3 cm - Nặng 20 kg', 'Kích thước ống đồng': '6.35 mm/9.52 mm', 'Chiều cao lắp đặt tối đa giữa cục nóng-lạnh': '10 m', 'Chiều dài lắp đặt ống đồng': 'Tối đa 5m', 'Kiểu dáng thiết kế': 'Máy lạnh treo tường'}","{'Loại hàng': ['Máy lạnh Inverter 1 chiều'], 'Diện tích sử dụng': 'Dưới 15 m2', 'Độ ồn trung bình': 'Dàn nóng: 51/50/49 DB', 'Loại Gas': ['R32'], 'Nhãn năng lượng': '5 (Hiệu suất năng lượng CSPF 4.34)', 'Lọc bụi, kháng khuẩn, khử mùi': ['Lọc bụi thường'], 'Chế độ gió': 'Điều khiển lên xuống tự động, trái phải tùy chỉnh tay', 'Công nghệ làm lạnh': ['Turbo'], 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công suất làm lạnh': '1 HP - 9.300 BTU', 'Công suất tiêu thụ điện trung bình': ['1.01 kW/h'], 'Điện áp': '220 V / 50 Hz', 'Cường độ dòng điện': ['3.9A'], 'Cường độ dòng điện tối đa': '8A', 'Lượng gas nạp': '400g'}","{'Tiện ích': ['Chế độ ngủ đêm', 'Khả năng hút ẩm', 'Tự khởi động lại khi có điện', 'Tự chẩn đoán lỗi', 'Làm lạnh nhanh Turbo', 'Tự động cảm biến nhiệt độ phòng', 'Tự động làm sạch dàn I-Clean', 'Easy care - giảm thời gian lắp đặt']}","{'Phụ kiện trong hộp': ['2 pin AA', 'giá đỡ remote', 'Remote', 'Sách HDSD']}"
3,00905552,Máy lạnh Casper Inverter 2 HP (18500 BTU) GC-18IS33,Mua ngay,Casper,Máy lạnh,Máy lạnh 1 chiều,"['20 - 30m² ', 'Làm lạnh Turbo ', 'Cảm biến nhiệt i-Feel']",15990000,11490000,28,2024-10-31T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-lanh-dieu-hoa/casper-gc-18is33?sku=00905552,https://cdn2.fptshop.com.vn/unsafe/2023_11_30_638369509080178289_casper-gc-18is33-4.jpg,Trắng,"{'Model': 'GC-18IS33', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Toàn thiết bị 3 năm', 'Máy nén cục nóng 12 năm', 'Remote 1 năm']}","{'Chất liệu': ['Vỏ cục lạnh Nhựa', 'Vỏ cục nóng Nhôm', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Đồng mạ vàng'], 'Kích thước - Khối lượng dàn lạnh': 'Dài 94.0 cm - Cao 31.6 cm - Dày 22.4 cm - Nặng 10 kg', 'Kích thước - Khối lượng dàn nóng': 'Dài 70.9 cm - Cao 53.5 cm - Dày 28.5 cm - Nặng 20 kg', 'Kích thước ống đồng': '6.35 mm/12.7 mm', 'Chiều cao lắp đặt tối đa giữa cục nóng-lạnh': '10m', 'Chiều dài lắp đặt ống đồng': 'Tối đa 5m', 'Kiểu dáng thiết kế': 'Máy lạnh treo tường'}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Loại hàng': ['Máy lạnh Inverter 1 chiều'], 'Diện tích sử dụng': 'Dưới 30 m2', 'Độ ồn trung bình': 'Dàn nóng: 54/53/52 DB', 'Loại Gas': ['R32'], 'Nhãn năng lượng': '5 (Hiệu suất năng lượng CSPF 5.2)', 'Lọc bụi, kháng khuẩn, khử mùi': ['Lọc bụi thường'], 'Chế độ gió': 'Điều khiển lên xuống tự động, trái phải tùy chỉnh tay', 'Công nghệ làm lạnh': ['Turbo'], 'Công nghệ tiết kiệm điện': ['Công nghệ I-saving', 'Inverter'], 'Công suất làm lạnh': '2 HP - 18.500 BTU', 'Công suất tiêu thụ điện trung bình': ['1.76 kW/h']}","{'Tiện ích': ['Làm lạnh nhanh Turbo', 'Tự động cảm biến nhiệt độ phòng', 'Tự động làm sạch dàn I-Clean', 'Easy care - giảm thời gian lắp đặt']}","{'Phụ kiện trong hộp': ['2 pin AA', 'giá đỡ remote', 'Remote', 'Sách HDSD']}"
4,00907190,Máy lạnh Midea Inverter 1.5 HP (12000 BTU) MSAGII-13CRDN8,Mua ngay,Midea,Máy lạnh,Máy lạnh 1 chiều,"['15 - 20m² ', 'Làm lạnh Turbo ', 'Tự làm sạch Self Clean']",10290000,7290000,29,2024-10-31T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-lanh-dieu-hoa/midea-inverter-msagii-13crdn8?sku=00907190,/,Trắng,"{'Model': 'MSAGII-13CRDN8', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Toàn thiết bị 3 năm', 'Máy nén cục nóng 5 năm']}","{'Chất liệu': ['Vỏ cục lạnh Nhựa', 'Vỏ cục nóng Hợp kim nhôm', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Nhôm mạ vàng'], 'Kích thước - Khối lượng dàn lạnh': 'Dài 83.5 cm - Cao 29.5 cm - Dày 20.8 cm - Nặng 9 kg', 'Kích thước - Khối lượng dàn nóng': 'Dài 72 cm - Cao 49.5 cm - Dày 27 cm - Nặng 21.2 kg', 'Chiều cao lắp đặt tối đa giữa cục nóng-lạnh': 'Tối đa 10m', 'Chiều dài lắp đặt ống đồng': 'Tối đa 25m'}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Loại hàng': ['Máy Lạnh 1 Chiều'], 'Diện tích sử dụng': 'Dưới 23 m2', 'Độ ồn trung bình': 'Dàn nóng: 53.5 dB', 'Loại Gas': ['R-32'], 'Nhãn năng lượng': '5 (Hiệu suất năng lượng CSPF 4.87)', 'Lọc bụi, kháng khuẩn, khử mùi': ['Fresh tạo ion âm diệt khuẩn làm sạch không khí', 'Bộ lọc bụi 2 lớp'], 'Chế độ gió': 'Tuỳ chỉnh điều khiển lên xuống', 'Công nghệ làm lạnh': ['Boost'], 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công suất làm lạnh': '1.5 HP - 12.000 BTU', 'Công suất sưởi ấm': 'Không sưởi ấm', 'Công suất tiêu thụ điện trung bình': ['1.06 kW/h'], 'Điện áp': '220 V / 50 Hz', 'Lượng gas nạp': '440 g'}","{'Tiện ích': ['Chế độ iECO cùng công nghệ Inverter Quattro tiết kiệm điện hiệu quả', 'Hệ thống lọc kép HD lọc khí cho không gian sống thêm trong lành', 'Khả năng làm lạnh nhanh', 'Dàn tản nhiệt Golden Fin duy trì khả năng làm mát, hạn chế sự ăn mòn']}",{'Phụ kiện trong hộp': ['Remote']}
5,00906764,Máy lạnh 2 chiều Casper Inverter 1.5 HP (12800 BTU) GH-12IS33,Mua ngay,Casper,Máy lạnh,Máy lạnh 2 chiều,"['15 - 20m² ', 'Làm lạnh Turbo ', 'Cảm biến nhiệt i-Feel']",10990000,8690000,21,2024-10-31T23:59:00.000+07:00,"['Chủ thẻ OCB: Giảm thêm 500,000đ', 'Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-lanh-dieu-hoa/casper-inverter-15-hp-gh-12is33?sku=00906764,https://cdn2.fptshop.com.vn/unsafe/2024_3_25_638469845658687817_casper-inverter-1hp-gh-09is33-1.jpg,Trắng,"{'Model': 'GH-12IS33', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Toàn thiết bị 3 năm', 'Máy nén cục nóng 12 tháng', 'Remote 1 năm']}","{'Chất liệu': ['Vỏ cục lạnh Nhựa', 'Vỏ cục nóng Nhôm'], 'Kích thước - Khối lượng dàn lạnh': '764 x 203 x 291 mm - 8.5 kg', 'Kích thước - Khối lượng dàn nóng': '705 x 279 x 530 mm - 22.5 kg', 'Chiều dài lắp đặt ống đồng': 'Tối thiểu 5m - Tối đa 20m'}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Loại hàng': ['Máy lạnh 2 chiều (có sưởi ấm)'], 'Diện tích sử dụng': 'Dưới 20 m2', 'Độ ồn trung bình': 'Dàn nóng: 62 dB', 'Loại Gas': ['R32'], 'Nhãn năng lượng': '5 (Hiệu suất năng lượng CSPF 4.89)', 'Lọc bụi, kháng khuẩn, khử mùi': ['Lọc bụi thường'], 'Chế độ gió': 'Điều khiển lên xuống tự động, trái phải tùy chỉnh tay', 'Công nghệ làm lạnh': ['Turbo'], 'Công nghệ tiết kiệm điện': ['Công nghệ I-saving'], 'Công suất làm lạnh': '1.5 HP - 12.800 BTU', 'Công suất sưởi ấm': '12.958 BTU', 'Công suất tiêu thụ điện trung bình': ['1.3 kW/h'], 'Điện áp': '220 V / 50 Hz', 'Cường độ dòng điện': ['4.9 - 5.6A'], 'Cường độ dòng điện tối đa': '9.5A', 'Lượng gas nạp': '560 g'}","{'Tiện ích': ['Khả năng hút ẩm', 'Cơ chế bảo vệ an toàn kép phát hiện rò rỉ thông minh', 'Hẹn giờ bật tắt máy', 'Tự khởi động lại khi có điện', 'Cảm biến nhiệt độ iFeel', 'Chức năng tự làm sạch']}",{'Phụ kiện trong hộp': ['Remote']}
6,00906765,Máy lạnh 2 chiều Casper Inverter 1 HP (9600 BTU) GH-09IS33,Mua ngay,Casper,Máy lạnh,Máy lạnh 2 chiều,"['Dưới 15m² ', 'Làm lạnh Turbo ', 'Cảm biến nhiệt i-Feel']",9590000,7690000,20,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-lanh-dieu-hoa/casper-inverter-1hp-gh-09is33?sku=00906765,https://cdn2.fptshop.com.vn/unsafe/2024_3_25_638469842827547170_casper-inverter-1hp-gh-09is33-1.jpg,Trắng,"{'Model': 'GH-09IS33', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Toàn thiết bị 3 năm', 'Máy nén cục nóng 12 năm', 'Remote 1 năm']}","{'Chất liệu': ['Vỏ cục lạnh Nhựa', 'Vỏ cục nóng Nhôm'], 'Kích thước - Khối lượng dàn lạnh': '764 x 203 x 291 mm - 8.5 kg', 'Kích thước - Khối lượng dàn nóng': '705 x 279 x 530 mm - 22.5 kg', 'Chiều dài lắp đặt ống đồng': 'Tối thiểu 5m - Tối đa 20m'}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Loại hàng': ['Máy lạnh 2 chiều (có sưởi ấm)'], 'Diện tích sử dụng': 'Dưới 15 m2', 'Độ ồn trung bình': 'Dàn nóng: 61 dB', 'Loại Gas': ['R32'], 'Nhãn năng lượng': '5 (Hiệu suất năng lượng CSPF 4.88)', 'Lọc bụi, kháng khuẩn, khử mùi': ['Lọc bụi thường'], 'Chế độ gió': 'Điều khiển lên xuống tự động, trái phải tùy chỉnh tay', 'Công nghệ làm lạnh': ['Turbo'], 'Công nghệ tiết kiệm điện': ['Công nghệ I-saving'], 'Công suất làm lạnh': '1 HP - 9.600 BTU', 'Công suất sưởi ấm': '9.700 BTU', 'Công suất tiêu thụ điện trung bình': ['0.8 kW/h'], 'Điện áp': '220 V / 50 Hz', 'Cường độ dòng điện': ['3.8 - 4.1A'], 'Cường độ dòng điện tối đa': '8.5A', 'Lượng gas nạp': '570 g'}","{'Tiện ích': ['Khả năng hút ẩm', 'Cơ chế bảo vệ an toàn kép phát hiện rò rỉ thông minh', 'Hẹn giờ bật tắt máy', 'Tự khởi động lại khi có điện', 'Cảm biến nhiệt độ iFeel', 'Chức năng tự làm sạch']}",{'Phụ kiện trong hộp': ['Remote']}
7,00907918,Máy lạnh Midea Inverter 1 HP (9000 BTU) MSAF6-10CDN8,Mua ngay,Midea,Máy lạnh,Máy lạnh 1 chiều,"['Dưới 15m² ', 'Làm lạnh Turbo ', 'Tự làm sạch Self Clean']",8790000,5490000,38,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/may-lanh-dieu-hoa/midea-msaf6-10cdn8?sku=00907918,https://cdn2.fptshop.com.vn/unsafe/2024_5_6_638506110452231667_midea-msaf6-10cdn8-1.jpg,Trắng,"{'Model': 'MSAF6-10CDN8', 'Xuất xứ': ['Thái Lan'], 'Thời điểm ra mắt': '2023', 'Thời hạn bảo hành sản phẩm': ['Toàn thiết bị 3 năm', 'Máy nén cục nóng 5 năm']}","{'Chất liệu': ['Vỏ cục lạnh Nhựa', 'Vỏ cục nóng Hợp kim nhôm', 'Ống dẫn gas Đồng', 'Lá tản nhiệt Nhôm mạ vàng'], 'Kích thước - Khối lượng dàn lạnh': 'Dài 71.5 cm - Cao 28.5 cm - Dày 19.4 cm - Nặng 7.4 kg', 'Kích thước - Khối lượng dàn nóng': 'Dài 66.8 cm - Cao 46.9 cm - Dày 25.2 cm - Nặng 16.98 kg', 'Chiều cao lắp đặt tối đa giữa cục nóng-lạnh': 'Tối đa 10m', 'Chiều dài lắp đặt ống đồng': 'Tối đa 25m'}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Loại hàng': ['Máy Lạnh 1 Chiều'], 'Diện tích sử dụng': 'Dưới 15 m2', 'Độ ồn trung bình': 'Dàn nóng: 54.5 dB', 'Loại Gas': ['R-32'], 'Nhãn năng lượng': '5 (Hiệu suất năng lượng CSPF 4.77)', 'Lọc bụi, kháng khuẩn, khử mùi': ['Fresh tạo ion âm diệt khuẩn làm sạch không khí'], 'Chế độ gió': 'Tuỳ chỉnh điều khiển lên xuống', 'Công nghệ tiết kiệm điện': ['Inverter'], 'Công suất làm lạnh': '1 HP - 9.000 BTU', 'Công suất sưởi ấm': 'Không sưởi ấm', 'Điện áp': '220 V / 50 Hz', 'Lượng gas nạp': '360 g'}",,{'Phụ kiện trong hộp': ['Remote']}
