,sku,Tên,Trạng thái,Nhãn hàng,Loại,Nhóm,Đặc điểm nổi bật,Giá gốc,Giá hiện tại,Giảm giá,Thời gian kết thúc giảm giá,Khuyến mãi,Link đặt hàng,Ảnh,Màu,Thông tin hàng hóa,Thiết kế và Trọng lượng,Thông số cơ bản,Tính năng và tiện ích,Phụ kiện trong hộp,Cảm biến
0,00907122,Quạt điều hòa Hòa Phát HPCF1-022,Mua ngay,Hòa Phát,Quạt,Quạt điều hòa,[],4590000,1990000,57,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-hoa-phat-hpcf1-022?sku=00907122,https://cdn2.fptshop.com.vn/unsafe/2024_3_12_638458571057334183_quat-dieu-hoa-hoa-phat-hpcf1-022-1.jpg,Xanh Navy,"{'Model': 'HPCF1-022', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '2022', 'Thời gian bảo hành (tháng)': 24, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 12 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Màu sắc': ['Xanh Navy']}","{'Kích thước': '48.6 x 97.8 x 31.3 cm', 'Trọng lượng sản phẩm': [{'displayValue': '9.2 kg', 'value': 9.2}], 'Chất liệu': ['Nhựa PP']}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': '25 - 30 m2', 'Công suất': ['86 W'], 'Điện áp': '220 V / 50 Hz', 'Lưu lượng gió': ['1800 m3/h'], 'Độ ồn lớn nhất': ['Đang cập nhật'], 'Tốc độ gió': '3 tốc độ', 'Bình chứa nước': '35 lít', 'Hộp đá khô làm mát kèm máy': 'Có'}","{'Tính năng': ['Đảo gió tự động', 'Bơm tự động chống cạn', 'Thiết lập 3 tốc độ gió'], 'Tiện ích': ['Giải pháp làm mát cho không gian mở', 'Động cơ bền bỉ, hiệu năng cao', 'Có bánh xe di chuyển', 'Tiết kiệm điện']}",,
1,00906742,Quạt điều hòa Sunhouse SHD7727,Mua ngay,Sunhouse,Quạt,Quạt điều hòa,[],6490000,3790000,42,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-sunhouse-shd7727?sku=00906742,https://cdn2.fptshop.com.vn/unsafe/2024_4_1_638475696569775809_quat-dieu-hoa-sunhouse-shd7727-1.jpg,Trắng,"{'Model': 'SHD7727', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '2022', 'Thời gian bảo hành (tháng)': 12, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 0 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Màu sắc': ['Trắng']}","{'Kích thước': '48 x 36 x 105 cm', 'Trọng lượng sản phẩm': [{'displayValue': '13.5 kg', 'value': 13.5}], 'Chất liệu': ['Nhựa ABS']}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': 'Lên đến 40 m2', 'Công suất': ['150 W'], 'Điện áp': '220 V / 50 Hz', 'Lưu lượng gió': ['3.000 m3/h'], 'Độ ồn lớn nhất': ['Dưới 60 dB'], 'Tốc độ gió': '3 tốc độ', 'Chế độ gió': ['3 chế độ'], 'Bình chứa nước': '40 lít', 'Hộp đá khô làm mát kèm máy': 'Có'}","{'Tiện ích': ['Thiết kế trang nhã, bền đẹp', 'Điều khiển dễ dàng, linh hoạt sử dụng', 'Bình chứa nước lớn']}",,
2,00757123,Quạt điều hoà Kangaroo KG50F62,Mua ngay,Kangaroo,Quạt,Quạt điều hòa,"['Công suất 110 W ', 'Diện tích làm mát 20-25m²', 'Bình chứa 33 lít ']",4490000,1990000,56,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-kangaroo-kg50f62?sku=00757123,https://cdn2.fptshop.com.vn/unsafe/2021_6_17_637595459901655630_quat-dieu-hoa-kangaroo-kg50f62-5.jpg,Mixed,"{'Model': 'KG50F62', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2019', 'Thời gian bảo hành (tháng)': 12, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 0 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Màu sắc': ['Mixed']}","{'Kích thước': '470 x 335 x 928 mm', 'Trọng lượng sản phẩm': [{'displayValue': '7.95 kg', 'value': 7.95}], 'Chất liệu': ['Vỏ máy: Nhựa cao cấp']}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': '20 - 25 m2', 'Công suất': ['100 W'], 'Điện áp': '220 V', 'Lưu lượng gió': ['3700 m3/h'], 'Độ ồn lớn nhất': ['50 dB'], 'Tốc độ gió': '3 mức', 'Chế độ gió': ['Gió thường', 'Gió ngủ', 'Gió tự nhiên'], 'Bình chứa nước': '33 lít', 'Hộp đá khô làm mát kèm máy': '2 hộp'}","{'Tiện ích': ['Tự ngắt bơm khi cạn nước', 'Bánh xe di chuyển', 'Thang đo hiển thị mực nước', 'Van xả cặn khoang chứa nước']}",{'Phụ kiện trong hộp': ['Hộp đá khô']},
3,00760344,Quạt điều hoà Kangaroo KG50F64,Mua ngay,Kangaroo,Quạt,Quạt điều hòa,"['Công suất 90 W ', 'Diện tích làm mát 20-25m²', 'Bình chứa 42 lít ']",4990000,2490000,50,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-kangaroo-kg50f64?sku=00760344,https://cdn2.fptshop.com.vn/unsafe/2021_6_22_637599691997440266_quat-dieu-hoa-kangaroo-kg50f64-1.jpg,Trắng,"{'Model': 'KG50F64', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2019', 'Thời gian bảo hành (tháng)': 12, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 0 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Màu sắc': ['Trắng']}","{'Kích thước': '420 x 345 x 1000 mm', 'Trọng lượng sản phẩm': [{'displayValue': '9.8 kg', 'value': 9.8}], 'Chất liệu': ['Vỏ máy: Nhựa cao cấp']}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': '20 - 25 m2', 'Công suất': ['90 W'], 'Điện áp': '220 V', 'Lưu lượng gió': ['5000 m3/h'], 'Độ ồn lớn nhất': ['50 dB'], 'Tốc độ gió': '3 mức', 'Chế độ gió': ['Gió tự nhiên', 'Gió ngủ', 'Gió thường'], 'Bình chứa nước': '42 lít', 'Hộp đá khô làm mát kèm máy': 'Không có'}","{'Tính năng': ['Đèn báo chức năng'], 'Tiện ích': ['Bánh xe di chuyển', 'Thang đo hiển thị mực nước', 'Hẹn giờ tắt', 'Tự ngắt bơm khi cạn nước', 'Điều khiển từ xa bằng remote', 'Tạo ion không khí', 'Van xả cặn khoang chứa nước', 'Màn hình hiển thị']}",{'Phụ kiện trong hộp': ['Remote']},{'Cảm biến': ['Cảm biến nhiệt độ phòng']}
4,00907120,Quạt điều hòa Hòa Phát HPCF1-045,Mua ngay,Hòa Phát,Quạt,Quạt điều hòa,[],5590000,2990000,47,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-hoa-phat-hpcf1-045?sku=00907120,https://cdn2.fptshop.com.vn/unsafe/2024_3_12_638458534479232287_quat-dieu-hoa-hoa-phat-hpcf1-045-3.jpg,Đen,"{'Model': 'HPCF1-045', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành (tháng)': 24, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 12 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Màu sắc': ['Đen']}","{'Kích thước': '27.5 x 105 x 40.3 cm', 'Trọng lượng sản phẩm': [{'displayValue': '11 kg', 'value': 11}], 'Chất liệu': ['Nhựa PP']}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': '15 - 20 m2', 'Công suất': ['112 W'], 'Điện áp': '220 V / 50 Hz', 'Lưu lượng gió': ['1115 m3/h'], 'Độ ồn lớn nhất': ['Đang cập nhật'], 'Tốc độ gió': '3 tốc độ', 'Bình chứa nước': '25 lít'}","{'Tính năng': ['Thiết lập 3 tốc độ gió', 'Màn hình điện tử/ Hiển thị LED', 'Hẹn giờ tắt bật', 'Đảo gió tự động', 'Bơm tự động chống cạn'], 'Tiện ích': ['Giải pháp làm mát cho không gian mở', 'Động cơ bền bỉ, hiệu năng cao', 'Có bánh xe di chuyển', 'Tiết kiệm điện']}",,
5,00907056,Quạt điều hòa Kangaroo KG50F88,Mua ngay,Kangaroo,Quạt,Quạt điều hòa,[],6990000,3990000,43,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-kangaroo-kg50f88?sku=00907056,https://cdn2.fptshop.com.vn/unsafe/2024_4_1_638475693462484892_quat-dieu-hoa-kangaroo-kg50f88-2.jpg,Trắng,"{'Model': 'KG50F88', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '2022', 'Thời gian bảo hành (tháng)': 12, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 0 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Màu sắc': ['Trắng']}","{'Kích thước': '61 x 118.5 x 41 cm', 'Trọng lượng sản phẩm': [{'displayValue': '16.5 kg', 'value': 16.5}]}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': '30 - 40 m2', 'Công suất': ['200 W'], 'Điện áp': '220 V / 50 Hz', 'Lưu lượng gió': ['7000 m3/h'], 'Độ ồn lớn nhất': ['73.2 dB'], 'Tốc độ gió': '3 mức', 'Bình chứa nước': '60 lít'}","{'Tiện ích': ['Van xả cặn khoang chứa nước', 'Có hộp đá khô làm mát', 'Thang đo hiển thị mực nước', 'Bánh xe di chuyển']}",,
6,00798387,Quạt điều hoà Sunhouse SHD7723,Mua ngay,Sunhouse,Quạt,Quạt điều hòa,"['Công suất 95 W ', 'Diện tích làm mát 20-25m²', 'Bình chứa 33 lít ']",4590000,3590000,22,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-sunhouse-shd7723?sku=00798387,https://cdn2.fptshop.com.vn/unsafe/2022_3_2_637818298406403611_quat-dieu-hoa-sunhouse-shd7723-trang-1.jpg,Trắng,"{'Model': 'SHD7723', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2018', 'Thời gian bảo hành (tháng)': 12, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 0 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Hướng dẫn bảo quản': 'Để nơi khô ráo, nhẹ tay, dễ vỡ.', 'Hướng dẫn sử dụng': 'Xem trong sách hướng dẫn sử dụng', 'Màu sắc': ['Trắng']}","{'Kích thước': '420 x 348 x 928 mm', 'Trọng lượng sản phẩm': [{'displayValue': '12.3 kg', 'value': 12.3}], 'Chất liệu': ['Nhựa ABS']}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': '20 - 25 m2', 'Công suất': ['95 W'], 'Điện áp': '220 V / 50 Hz', 'Lưu lượng gió': ['2000 m3/h'], 'Độ ồn lớn nhất': ['40 dB'], 'Tốc độ gió': '4 mức', 'Chế độ gió': ['Gió thường', 'Gió ngủ', 'Gió tự nhiên'], 'Bình chứa nước': '33 lít', 'Lượng nước tiêu thụ': '1.2 lít/giờ', 'Hộp đá khô làm mát kèm máy': 'Không có'}","{'Tính năng': ['Hẹn giờ tắt', 'Điền khiển từ xa', 'Đèn báo chức năng', 'Tạo ion không khí'], 'Tiện ích': ['Tự ngắt bơm khi cạn nước', 'Van xả cặn khoang chứa nước', 'Thang đo hiển thị mực nước']}","{'Phụ kiện trong hộp': ['Sách HDSD', 'Remote']}",{'Cảm biến': ['Cảm biến nhiệt độ phòng']}
7,00907118,Quạt điều hòa Nagakawa NFC555,Mua ngay,Nagakawa,Quạt,Quạt điều hòa,[],4990000,2590000,48,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-nagakawa-nfc555?sku=00907118,https://cdn2.fptshop.com.vn/unsafe/2024_3_7_638454285316938255_quat-dieu-hoa-nagakawa-nfc555-2.jpg,Trắng,"{'Model': 'NFC555', 'Xuất xứ': ['Trung Quốc'], 'Thời điểm ra mắt': '2023', 'Thời gian bảo hành (tháng)': 12, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 0 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Màu sắc': ['Trắng']}","{'Kích thước': '47 x 34 x 97 cm', 'Trọng lượng sản phẩm': [{'displayValue': '9.6 kg', 'value': 9.6}], 'Chất liệu': ['Nhựa ABS']}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': '35 - 45 m2', 'Công suất': ['90 W'], 'Điện áp': '220 V / 50 Hz', 'Lưu lượng gió': ['3000 m3/h'], 'Độ ồn lớn nhất': ['u003c 65 dB'], 'Tốc độ gió': '3 tốc độ', 'Bình chứa nước': '21 lít'}","{'Tính năng': ['Lấy gió đa chiều và làm mát tự nhiên', 'Thiết lập 3 tốc độ gió', '2 chế độ làm mát riêng biệt'], 'Tiện ích': ['Giải pháp làm mát tối ưu và tiết kiệm điện cho không gian mở', 'Gió mát tự nhiên, thân thiện với sức khỏe', 'Tấm lọc công nghệ cao – lọc sạch không khí, chống ẩm hiệu quả', 'Trang bị hệ thống chống giật, tránh gây rò điện, đảm bảo an toàn hơn cho người sử dụng', 'Dễ dàng di chuyển']}",,
8,00907527,Quạt điều hòa Hòa Phát HPCF1-021,Mua ngay,Hòa Phát,Quạt,Quạt điều hòa,[],4590000,1990000,57,2024-10-31T23:59:00.000+07:00,"['Giảm 5% cho đơn từ 53,000đ', 'Giảm ngay 1 triệu khi mở thẻ tín dụng VPBank', 'Giảm đến 700.000đ khi thanh toán trả góp qua Kredivo', 'Giảm đến 1 triệu trả góp qua thẻ Visa']",https://fptshop.com.vn/quat-dieu-hoa/quat-dieu-hoa-hoa-phat-hpcf1-021?sku=00907527,https://cdn2.fptshop.com.vn/unsafe/2024_4_12_638485102973566908_quat-dieu-hoa-hoa-phat-hpcf1-021-1.jpg,Nâu,"{'Model': 'HPCF1-021', 'Xuất xứ': ['Việt Nam'], 'Thời điểm ra mắt': '2022', 'Thời gian bảo hành (tháng)': 24, 'Thời hạn bảo hành phụ kiện': ['Điều khiển: 12 tháng', 'Tấm làm mát và lưới lọc bụi: 0 tháng'], 'Màu sắc': ['Nâu']}","{'Kích thước': '48.6 x 97.8 x 31.3 cm', 'Trọng lượng sản phẩm': [{'displayValue': '9.2 kg', 'value': 9.2}], 'Chất liệu': ['Nhựa PP']}","{'Chế độ bảo hành': ['Bảo hành tại nhà'], 'Diện tích làm mát': '25 - 30 m2', 'Công suất': ['86 W'], 'Điện áp': '220 V / 50 Hz', 'Lưu lượng gió': ['1800 m3/h'], 'Độ ồn lớn nhất': ['65 - 76 dB'], 'Tốc độ gió': '3 tốc độ', 'Bình chứa nước': '35 lít'}","{'Tiện ích': ['Động cơ bền bỉ, hiệu năng cao', 'Dễ dàng di chuyển', 'Tiết kiệm điện', 'Tính năng hiện đại: đảo gió tự động, bơm tự động chống cạn,...']}",,
